# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20170101-20171231
# ----------------------------------------

Day Index,Users
5/30/17,1
5/31/17,4
6/1/17,2
6/2/17,1
6/3/17,1
6/4/17,1
6/5/17,1
6/6/17,3
6/7/17,4
6/8/17,2
6/9/17,0
6/10/17,1
6/11/17,0
6/12/17,2
6/13/17,2
6/14/17,0
6/15/17,0
6/16/17,0
6/17/17,0
6/18/17,0
6/19/17,1
6/20/17,0
6/21/17,4
6/22/17,0
6/23/17,2
6/24/17,0
6/25/17,1
6/26/17,3
6/27/17,3
6/28/17,2
6/29/17,2
6/30/17,1
7/1/17,0
7/2/17,1
7/3/17,0
7/4/17,2
7/5/17,3
7/6/17,6
7/7/17,0
7/8/17,1
7/9/17,1
7/10/17,0
7/11/17,0
7/12/17,2
7/13/17,1
7/14/17,0
7/15/17,3
7/16/17,2
7/17/17,4
7/18/17,3
7/19/17,8
7/20/17,2
7/21/17,3
7/22/17,0
7/23/17,2
7/24/17,2
7/25/17,0
7/26/17,1
7/27/17,1
7/28/17,0
7/29/17,1
7/30/17,0
7/31/17,1
8/1/17,5
8/2/17,4
8/3/17,2
8/4/17,1
8/5/17,4
8/6/17,1
8/7/17,2
8/8/17,0
8/9/17,5
8/10/17,4
8/11/17,5
8/12/17,0
8/13/17,1
8/14/17,1
8/15/17,2
8/16/17,3
8/17/17,3
8/18/17,6
8/19/17,2
8/20/17,3
8/21/17,1
8/22/17,1
8/23/17,2
8/24/17,0
8/25/17,1
8/26/17,6
8/27/17,2
8/28/17,3
8/29/17,4
8/30/17,4
8/31/17,3
9/1/17,1
9/2/17,2
9/3/17,2
9/4/17,2
9/5/17,5
9/6/17,2
9/7/17,3
9/8/17,1
9/9/17,1
9/10/17,2
9/11/17,4
9/12/17,3
9/13/17,4
9/14/17,5
9/15/17,6
9/16/17,2
9/17/17,3
9/18/17,1
9/19/17,6
9/20/17,2
9/21/17,5
9/22/17,6
9/23/17,3
9/24/17,5
9/25/17,4
9/26/17,7
9/27/17,10
9/28/17,6
9/29/17,10
9/30/17,8
10/1/17,3
10/2/17,6
10/3/17,9
10/4/17,11
10/5/17,9
10/6/17,5
10/7/17,1
10/8/17,2
10/9/17,15
10/10/17,10
10/11/17,11
10/12/17,13
10/13/17,6
10/14/17,8
10/15/17,10
10/16/17,7
10/17/17,9
10/18/17,8
10/19/17,9
10/20/17,7
10/21/17,4
10/22/17,7
10/23/17,18
10/24/17,7
10/25/17,14
10/26/17,8
10/27/17,5
10/28/17,14
10/29/17,7
10/30/17,10
10/31/17,12
11/1/17,10
11/2/17,12
11/3/17,13
11/4/17,11
11/5/17,4
11/6/17,17
11/7/17,14
11/8/17,13
11/9/17,5
11/10/17,6
11/11/17,2
11/12/17,7
11/13/17,11
11/14/17,12
11/15/17,11
11/16/17,18
11/17/17,9
11/18/17,12
11/19/17,10
11/20/17,10
11/21/17,17
11/22/17,17
11/23/17,15
11/24/17,16
11/25/17,7
11/26/17,10
11/27/17,19
11/28/17,20
11/29/17,16
11/30/17,18
12/1/17,13
12/2/17,9
12/3/17,15
12/4/17,17
12/5/17,24
12/6/17,32
12/7/17,17
12/8/17,19
12/9/17,12
12/10/17,22
12/11/17,27
12/12/17,32
12/13/17,35
12/14/17,30
12/15/17,27
12/16/17,13
12/17/17,23
12/18/17,30
12/19/17,30
12/20/17,33
12/21/17,22
12/22/17,20
12/23/17,14
12/24/17,15
12/25/17,13
12/26/17,26
12/27/17,22
12/28/17,32
12/29/17,14
12/30/17,12
12/31/17,11
,"1,826"
